timestamp_utc,round,load_state,round_start_utc,warmup_start_utc,ready_utc,round_end_utc,locust_exit_code,qps_total,qps_2xx,qps_5xx,frontend_p95
2026-04-12T10:36:30+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,34.1969676980617,26.328308243932565,0.0,0.01455421686746988
2026-04-12T10:37:00+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,31.601563430812565,24.88585356532481,0.0,0.00984090909090909
2026-04-12T10:37:30+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,31.033471798692354,24.43353125761615,0.0,0.01050847457627112
2026-04-12T10:38:00+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,31.25369193607402,24.911217386798185,0.0,0.013123287671232872
2026-04-12T10:38:30+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,32.00181161787421,26.331281809866258,0.0,0.018541666666666665
2026-04-12T10:39:00+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,34.20201688705098,27.44512428501771,0.0,0.01911363636363635
2026-04-12T10:39:30+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,33.816515055095465,27.240138612120774,0.0,0.018143700787401577
2026-04-12T10:40:00+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,33.06928490957789,27.159010394793878,0.0,0.017692307692307695
2026-04-12T10:40:30+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,33.23284516148257,26.900911262055676,0.0,0.018173228346456696
2026-04-12T10:41:00+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,33.780799504022944,27.367878979797595,0.0,0.018660583941605836
2026-04-12T10:41:30+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,33.279981303676585,27.64249998546126,0.0,0.017441304347826078
2026-04-12T10:42:00+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,32.39834587495792,26.343285942587666,0.0,0.01722544642857143
2026-04-12T10:42:30+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,32.770992140024376,25.269761580132197,0.0,0.018494318181818164
2026-04-12T10:43:00+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,32.897219435563194,25.91842825440803,0.0,0.019731481481481482
2026-04-12T10:43:30+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,34.80257386306619,27.817169753722343,0.0,0.019674050632911375
2026-04-12T10:44:00+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,33.8158005820301,27.629227239160244,0.021707512970239,0.020037342466256998
2026-04-12T10:44:30+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,33.21786837484856,26.743532193025537,0.0,0.019806074766355132
2026-04-12T10:45:00+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,33.62511410008055,26.86862963150906,0.0,0.019378640776699024
